Date,Open,High,Low,Close,Volume
04/14/2015,66.46,66.76,66.46,66.6,1562
04/15/2015,67.32,67.32,67.2682,67.3,717
04/16/2015,67.14,67.21,66.951,66.98,113732
04/17/2015,66.41,66.41,66.1515,66.28,5839
04/20/2015,66.8017,66.946,66.8016,66.946,1031
04/21/2015,66.84,66.88,66.84,66.88,681
04/22/2015,66.51,66.51,66.47,66.47,291
04/23/2015,67.03,67.23,67.03,67.2,553
04/24/2015,67.13,67.18,67.07,67.09,395734
04/27/2015,67.31,67.31,67.098,67.098,1258
04/28/2015,67.16,67.2266,67.16,67.2266,665
04/29/2015,67.015,67.0212,67,67.0212,72629
04/30/2015,66.84,66.9,66.45,66.54,6280
05/01/2015,66.88,67.0101,66.88,67.0101,769
05/04/2015,67.38,67.4595,67.25,67.45,1140
05/05/2015,67.0199,67.0199,66.67,66.67,683
05/06/2015,66.78,66.78,66,66.38,2952
05/07/2015,66.27,66.5503,66.27,66.5503,709
05/08/2015,67.32,67.3952,67.32,67.3416,545
05/11/2015,67.4,67.44,67,67.02,20328
05/12/2015,66.9399,66.9399,66.9399,66.9399,490
05/13/2015,66.8428,66.8428,66.79,66.79,8378
05/14/2015,67.23,67.3801,67.23,67.3801,1840
05/15/2015,67.3882,67.51,67.3882,67.51,685
05/18/2015,67.57,67.7737,67.45,67.7,1275
05/19/2015,67.74,67.7461,67.74,67.7461,379
05/20/2015,67.836,67.836,67.836,67.836,286
05/21/2015,67.72,67.969,67.61,67.82,4069
05/22/2015,67.7593,67.89,67.7201,67.89,1303
05/26/2015,67.25,67.25,66.9499,66.9499,2439
05/27/2015,67.3134,67.48,67.3134,67.434,1075
05/28/2015,67.5499,67.56,67.5499,67.55,669
05/29/2015,67.19,67.3688,67.08,67.15,681
06/01/2015,67.202,67.24,67.15,67.15,7813
06/02/2015,67.18,67.468,67.15,67.24,13502
06/03/2015,67.33,67.6076,67.33,67.3995,1006
06/04/2015,67.02,67.02,66.899,66.899,453
06/05/2015,66.709,67.02,66.709,66.8812,1418
06/08/2015,66.67,66.67,66.5919,66.6299,1189
06/09/2015,66.4277,66.66,66.4277,66.66,1241
06/10/2015,66.98,67.34,66.98,67.334,3700
06/11/2015,67.326,67.59,67.326,67.44,4705
06/12/2015,66.966,66.9799,66.85,66.93,6472
06/15/2015,66.33,66.62,66.33,66.62,2170
06/16/2015,66.8303,66.9668,66.8224,66.9668,1078
06/18/2015,67.8799,67.8799,67.71,67.71,3026
06/19/2015,67.79,67.79,67.444,67.444,750
06/22/2015,67.68,67.84,67.6601,67.74,2661
06/24/2015,66.983,66.983,66.983,66.983,284
06/25/2015,66.99,67.0043,66.97,67.0043,1270
06/26/2015,66.486,66.58,66.486,66.5602,1008
06/29/2015,65.85,66.12,65.5,65.55,2309
06/30/2015,65.588,65.75,65.25,65.7,1649
07/01/2015,65.85,66.008,65.75,65.75,982
